Frame,Time (Seconds),X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z
28,0.233000,-313.491302,-780.004822,-137.799698,-284.890808,-757.878845,-228.886398,-342.027985,-296.179749,-120.039253,-287.793732,-630.070007,-243.155319,-318.713623,-233.775681,-192.152939,-305.578644,-330.378174,-276.095306,-282.053009,-599.606079,-386.301666,-303.164612,-253.198654,-404.283264,-313.184662,-428.087585,-437.577026
29,0.242000,-313.388855,-778.149109,-136.749329,-284.655762,-756.883301,-228.054474,-342.240875,-293.853973,-119.992401,-287.217651,-629.159546,-243.023392,-318.952423,-231.659622,-192.266907,-305.546112,-328.885040,-275.382294,-281.876221,-599.147888,-386.216522,-303.464081,-252.956802,-404.331238,-313.139618,-427.550629,-437.507141
30,0.250000,-313.495636,-776.591614,-136.469193,-284.637329,-756.315369,-227.950607,-342.380157,-291.622711,-119.837891,-287.065491,-628.649414,-243.006546,-319.008942,-229.713364,-192.495483,-305.285339,-327.615326,-274.844177,-281.731323,-598.794312,-386.262451,-303.246094,-252.325241,-404.046387,-313.074219,-427.175079,-437.380280
31,0.258000,-313.055389,-774.954468,-136.525970,-284.696106,-755.931946,-227.943344,-342.525421,-289.572632,-119.754204,-287.242279,-628.291626,-243.142883,-318.883484,-227.981430,-192.651352,-305.508789,-326.640442,-274.148865,-281.732758,-598.460510,-386.481445,-302.922363,-251.836563,-403.867004,-312.985901,-426.814911,-437.459076
32,0.267000,-313.169403,-773.358765,-136.180130,-284.832214,-755.743591,-227.841827,-342.545776,-287.405640,-119.700768,-287.429657,-628.185486,-243.411041,-318.840454,-226.223831,-192.951996,-305.389465,-325.606750,-273.641632,-281.857086,-598.322937,-386.741791,-302.641602,-251.537292,-403.712097,-312.976532,-426.677399,-437.517883
33,0.275000,-313.345001,-771.882385,-135.969025,-284.955292,-755.869629,-227.831116,-342.801880,-285.320923,-119.679390,-287.385925,-628.343140,-243.760895,-318.854523,-224.527893,-193.318359,-305.257812,-324.659210,-272.960510,-281.987488,-598.516357,-387.123840,-302.410126,-251.539703,-403.616425,-312.993042,-426.722931,-437.618011
34,0.283000,-313.572479,-770.325500,-135.603699,-285.096558,-756.013245,-227.779190,-342.762512,-283.387482,-119.709595,-287.427521,-628.547424,-244.355270,-318.844666,-223.024429,-193.635910,-305.314758,-323.908142,-272.456787,-282.077972,-598.705933,-387.634827,-302.295258,-251.641876,-403.613647,-312.962677,-426.822449,-437.930878
35,0.292000,-313.727936,-768.820984,-135.294449,-285.271759,-756.061951,-227.706345,-342.818695,-281.371765,-119.681519,-287.440216,-628.695984,-245.172974,-318.830414,-221.628403,-194.224167,-305.271973,-323.291016,-272.186218,-282.175262,-598.917847,-388.424561,-302.213470,-251.809006,-403.748352,-312.967255,-427.065430,-438.367828
36,0.300000,-313.871765,-767.305359,-135.115433,-285.433624,-755.942017,-227.695694,-342.856659,-279.476990,-119.754753,-287.279388,-628.727844,-245.929016,-318.705902,-220.405563,-194.913620,-304.935638,-322.618469,-272.030212,-282.080994,-599.327942,-389.301483,-302.251434,-252.196762,-404.083893,-312.945892,-427.343292,-439.023468
37,0.308000,-314.075684,-765.593384,-134.910522,-285.572845,-755.443542,-227.636856,-342.272583,-277.602173,-120.034409,-287.095764,-628.348816,-246.509781,-318.624176,-219.353729,-195.727188,-304.783539,-322.082306,-272.093262,-282.070587,-599.740662,-390.031891,-302.236237,-252.627914,-404.642029,-313.036987,-427.697662,-439.688293
