Frame,Time (Seconds),X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z
43,0.358000,-298.771820,-713.647766,-317.527588,-333.019989,-368.847717,-253.301315,-291.991272,-822.733887,-384.769226,-315.254669,-409.605499,-374.189087,-291.622742,-645.908691,-447.363373,-312.624512,-298.973145,-475.147705,-356.324127,-442.305634,-192.708481,-315.643005,-904.259583,-335.670410,-321.653229,-475.549286,-503.474304,,,,,,,,,,,,
44,0.367000,-298.932190,-713.789124,-316.733978,-331.950134,-370.535400,-252.443375,-292.787018,-823.406494,-383.193054,-314.658478,-411.101318,-373.605499,-291.983673,-646.820557,-447.014465,-312.384308,-299.710358,-473.756195,-355.240936,-444.052979,-191.981888,-316.606415,-904.550842,-333.456879,-321.766327,-476.249084,-502.582428,,,,,,,,,,,,
45,0.375000,-299.129242,-713.656189,-315.807983,-330.564758,-372.179535,-251.607086,-293.688660,-824.018005,-381.208923,-313.808319,-412.546570,-372.871338,-292.279999,-647.863586,-446.747498,-311.769775,-300.680237,-472.372894,-353.637329,-445.724030,-191.094299,-317.572083,-904.417114,-330.379150,-321.748138,-477.143372,-501.735565,,,,,,,,,,,,
46,0.383000,-299.204742,-713.197754,-314.926666,-328.846802,-373.754547,-250.610077,-293.773010,-824.719482,-379.358276,-312.879791,-413.892822,-371.945404,-292.565308,-648.906128,-446.488922,-311.047302,-301.471252,-470.855408,-351.939728,-447.259094,-190.087173,-318.559265,-903.980408,-326.664368,-321.738098,-477.816803,-500.746674,,,,,,,,,,,,
47,0.392000,-299.166107,-712.329102,-313.991516,-327.102112,-375.233948,-249.458893,-294.532715,-825.024719,-376.467804,-311.869476,-415.348175,-371.028870,-292.658234,-649.879944,-446.284027,-310.189453,-302.323303,-469.444916,-349.847137,-448.965973,-189.087402,-319.450836,-903.133118,-322.067261,-321.688080,-478.389465,-499.847382,,,,,,,,,,,,
48,0.400000,-299.155731,-711.401123,-312.919617,-325.154602,-376.762634,-248.447388,-295.601776,-825.151184,-372.761292,-310.649536,-416.552887,-370.274658,-292.766968,-650.713013,-446.043030,-309.225067,-303.047119,-467.988647,-348.044037,-450.357056,-188.087646,-320.264587,-901.989685,-316.874420,-321.345398,-479.052948,-498.940613,,,,,,,,,,,,
49,0.408000,-298.878021,-710.423706,-311.654205,-323.132996,-378.004364,-247.486710,-295.798218,-825.198242,-369.244965,-309.605225,-417.369232,-369.371216,-292.733124,-651.350342,-445.709137,-308.222748,-303.455048,-466.632202,-346.082672,-451.762848,-187.258224,-321.065247,-900.271484,-311.192657,-321.059143,-479.346710,-497.978241,,,,,,,,,,,,
50,0.417000,-298.255798,-709.119385,-310.438965,-321.195892,-379.208496,-246.526245,-295.942780,-825.236816,-365.653870,-308.214508,-418.039368,-368.692047,-292.506409,-651.693848,-445.267578,-307.229736,-303.677216,-465.344574,-344.042877,-452.964844,-186.305511,-321.292389,-898.166687,-305.160736,-320.701080,-479.455109,-496.968201,,,,,,,,,,,,
51,0.425000,-297.486725,-707.369934,-309.110077,-319.301910,-380.126312,-245.538071,-295.908875,-824.545105,-361.703461,-306.990112,-418.506897,-368.049377,-292.071960,-651.724121,-444.637360,-306.254883,-303.708649,-464.166260,-341.926849,-454.101837,-185.510010,-321.150787,-895.804260,-298.978088,-320.144745,-479.461334,-495.970001,,,,,,,,,,,,
52,0.433000,-296.615997,-705.254639,-307.507568,-317.191956,-380.965546,-244.633926,-295.515594,-823.562195,-357.555298,-305.759186,-418.715790,-367.399139,-291.610077,-651.525085,-443.815918,-305.297516,-303.389374,-462.905151,-339.817627,-454.919617,-184.581268,-320.931641,-892.718079,-292.681091,-319.646057,-479.204315,-494.868256,,,,,,,,,,,,
53,0.442000,-295.691742,-702.768738,-305.571930,-315.375580,-381.464508,-243.606476,-294.742279,-822.025940,-353.178986,-304.490082,-418.419220,-366.469788,-291.059387,-650.988586,-442.678741,-304.262421,-302.938721,-461.786346,-337.869202,-455.424347,-183.528122,-320.161743,-889.457153,-286.432373,-318.947998,-478.729309,-493.552582,,,,,,,,,,,,
54,0.450000,-294.624298,-700.044312,-303.571747,-313.672638,-381.462646,-242.346146,-293.771454,-820.243774,-348.655243,-303.209534,-417.849182,-365.564392,-290.372284,-650.272644,-441.391052,-303.229340,-302.119019,-460.549042,-335.924500,-455.594513,-182.338013,-318.801056,-885.837463,-280.169495,-318.315308,-478.052094,-492.323090,,,,,,,,,,,,
55,0.458000,-293.526947,-697.066284,-301.383331,-311.908997,-381.182190,-240.959702,-292.614441,-818.147217,-344.085693,-301.898865,-416.944458,-364.490509,-289.600220,-649.245300,-439.901642,-302.219604,-301.159180,-459.313263,-334.095154,-455.359711,-180.973282,-317.553284,-881.710815,-273.672607,-317.441406,-477.082916,-490.928986,,,,,,,,,,,,
56,0.467000,-292.146820,-694.072571,-299.198700,-310.490295,-380.542511,-239.276886,-291.381561,-815.879761,-339.298157,-300.680267,-415.729309,-363.032135,-288.650421,-648.009399,-438.300751,-301.144348,-299.883362,-457.884735,-332.457123,-454.611786,-179.337616,-316.376740,-877.376221,-267.031128,-316.607513,-475.826447,-489.146179,,,,,,,,,,,,
57,0.475000,-290.819794,-690.760681,-296.880524,-309.046478,-379.308929,-237.509995,-290.099915,-813.421021,-334.440826,-299.530334,-414.095184,-361.231750,-287.514160,-646.436829,-436.540710,-300.142975,-298.368164,-456.262604,-330.903870,-453.391571,-177.418671,-314.896210,-872.835999,-260.395752,-315.629608,-474.442444,-487.599396,,,,,,,,,,,,
58,0.483000,-289.475342,-687.463196,-294.501617,-307.796082,-377.509888,-235.496597,-288.710846,-810.823486,-329.584717,-298.314758,-412.351044,-359.325592,-286.321320,-644.742920,-434.698364,-299.129303,-296.707245,-454.508942,-329.515930,-451.753479,-175.390945,-313.617065,-867.969299,-253.690872,-314.577606,-472.721863,-485.740295,,,,,,,,,,,,
59,0.492000,-288.179260,-683.842651,-291.945679,-306.516785,-375.497864,-233.362595,-287.598969,-807.920410,-324.562592,-297.333344,-410.311005,-357.005371,-285.009583,-642.866821,-432.624939,-298.132568,-294.777252,-452.420380,-328.302643,-449.635101,-173.069199,-312.361481,-862.707886,-247.176605,-313.435028,-470.764130,-483.635590,,,,,,,,,,,,
60,0.500000,-286.906403,-680.104858,-289.200836,-305.407440,-373.182648,-231.001465,-286.007629,-804.782837,-319.798370,-296.064636,-408.217682,-354.720215,-283.663300,-640.744934,-430.379089,-297.166534,-292.699524,-450.040314,-327.059296,-447.297424,-170.737747,-310.954407,-857.474792,-240.660004,-312.343903,-468.642273,-481.377045,,,,,,,,,,,,
61,0.508000,-285.682770,-676.080017,-286.356934,-304.386627,-370.657867,-228.430939,-284.464539,-801.354736,-314.628784,-295.053009,-405.847534,-352.122253,-282.254608,-638.348755,-427.932587,-296.290436,-290.307037,-447.505249,-325.997864,-444.740173,-168.067642,-309.575745,-852.084656,-234.297455,-311.181030,-466.334320,-478.915405,,,,,,,,,,,,
62,0.517000,-284.414948,-672.063049,-283.439270,-303.596497,-367.908569,-225.684662,-282.836548,-797.646729,-309.593292,-294.164429,-403.114929,-349.284546,-280.795013,-635.766052,-425.407684,-295.493408,-287.780121,-444.742279,-325.106995,-441.956696,-165.235916,-307.847198,-846.655518,-228.226181,-309.957214,-463.852753,-476.292358,,,,,,,,,,,,
63,0.525000,-283.125610,-667.843323,-280.330780,-303.172363,-365.039062,-222.694229,-281.315460,-793.794495,-304.369507,-293.289978,-400.408691,-346.350769,-279.274475,-633.063477,-422.622101,-294.792969,-285.101135,-441.943085,-324.544830,-439.069672,-162.366821,-306.333771,-841.100891,-222.238861,-308.776489,-461.114594,-473.482330,,,,,,,,,,,,
64,0.533000,-281.771179,-663.456299,-277.142029,-302.848846,-361.819275,-219.750534,-279.530640,-789.739014,-299.441132,-292.669586,-397.309448,-343.210663,-277.621338,-630.066040,-419.690735,-294.191864,-282.131287,-439.006195,-324.143951,-436.004333,-159.400375,-304.951080,-835.540588,-216.365677,-307.428497,-458.284088,-470.722198,,,,,,,,,,,,
65,0.542000,-280.371521,-659.086670,-273.833191,-302.810303,-358.652130,-216.766418,-277.632385,-785.634521,-294.526581,-292.053650,-394.205841,-340.147614,-275.910004,-626.942322,-416.691498,-293.675385,-279.061707,-436.087372,-324.120270,-432.804382,-156.421265,-303.037659,-830.074036,-210.839767,-306.241119,-455.102234,-467.710327,,,,,,,,,,,,
66,0.550000,-279.016052,-654.596436,-270.410675,-302.953552,-355.281128,-213.742188,-275.738647,-781.346924,-289.624512,-291.529938,-390.856934,-337.073730,-274.260193,-623.665527,-413.575104,-293.259186,-275.828278,-433.136902,-324.159729,-429.456726,-153.363022,-301.365570,-824.450378,-205.303909,-305.040833,-452.019073,-464.715271,,,,,,,,,,,,
67,0.558000,-277.722168,-650.051758,-267.010986,-303.254120,-351.777466,-210.627167,-273.719971,-776.965576,-284.805206,-291.363037,-387.413269,-333.864014,-272.591827,-620.218445,-410.328705,-292.921600,-272.494751,-430.155670,-323.995575,-426.106323,-150.361572,-299.474335,-819.056641,-199.967392,-303.947205,-448.797272,-461.727722,,,,,,,,,,,,
68,0.567000,-276.593719,-645.396362,-263.440613,-303.811554,-348.088715,-207.590515,-271.744537,-772.496704,-279.947968,-291.049896,-383.872223,-330.790436,-271.106903,-616.694153,-407.054047,-292.716248,-269.135681,-427.261230,-323.799683,-422.774750,-147.366699,-297.516724,-813.725037,-194.837097,-302.929321,-445.393066,-458.734497,,,,,,,,,,,,
69,0.575000,-275.468689,-640.763123,-259.959778,-304.115173,-344.384888,-204.670212,-269.871429,-767.994263,-275.323547,-290.783752,-380.402588,-327.730774,-269.580750,-613.176514,-403.801331,-292.507294,-265.711182,-424.435760,-325.037964,-418.677277,-144.186111,-295.853638,-808.273987,-189.743576,-301.949005,-442.167480,-455.619141,,,,,,,,,,,,
70,0.583000,-274.310272,-636.325012,-256.609802,-304.542633,-340.464722,-201.620270,-268.159485,-763.512512,-270.756897,-290.600555,-376.869171,-324.625458,-268.134918,-609.774658,-400.610779,-292.355621,-262.368652,-421.495117,-325.433685,-414.660095,-141.053085,-294.241577,-802.969360,-184.846420,-301.054108,-438.830994,-452.673370,,,,,,,,,,,,
71,0.592000,-273.265564,-631.839233,-253.280334,-304.862427,-336.647339,-198.620560,-266.670013,-759.190491,-266.227509,-290.499298,-373.345398,-321.423645,-266.854034,-606.308777,-397.463135,-292.124969,-259.128784,-418.650879,-325.728912,-410.758759,-138.008240,-292.807892,-797.787231,-179.950333,-300.158813,-435.516174,-449.716797,,,,,,,,,,,,
72,0.600000,-272.406281,-627.556702,-250.154648,-305.310364,-332.772797,-195.473114,-265.356873,-755.114624,-261.743408,-290.075928,-369.852448,-318.372955,-265.666260,-603.006958,-394.478180,-292.009003,-255.861099,-415.768921,-326.078979,-406.798889,-134.863495,-291.681396,-792.532654,-175.032227,-299.481659,-432.253174,-446.864258,,,,,,,,,,,,
73,0.608000,-271.535309,-623.366516,-247.206436,-305.415192,-328.844116,-192.440979,-264.293884,-750.956909,-257.406830,-289.891113,-366.456787,-315.046539,-264.687225,-599.774109,-391.700989,-291.868286,-252.745743,-412.852814,-326.027527,-403.080750,-131.811096,-290.664459,-787.215942,-170.335693,-298.821045,-429.205597,-444.022156,,,,,,,,,,,,
74,0.617000,-270.822937,-619.365234,-244.397263,-305.231049,-325.105408,-189.442245,-263.392426,-747.071472,-253.243118,-289.606873,-363.416321,-311.787598,-263.866272,-596.870300,-389.040527,-291.620178,-249.830688,-409.833893,-325.775665,-399.207092,-128.696396,-289.876404,-781.938049,-165.642929,-298.210388,-426.270172,-441.279816,,,,,,,,,,,,
