Frame,Time (Seconds),X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z
28,0.233000,-314.843414,-742.387634,-133.932022,-285.121826,-740.038208,-227.665588,-332.414642,-303.081085,-135.879013,-284.383759,-618.555054,-271.101593,-307.875336,-267.430206,-224.038773,-295.385284,-362.198853,-310.543030,-278.627716,-624.025391,-417.286285,-308.419495,-451.871338,-467.551727,-295.558624,-276.348755,-433.403900
29,0.242000,-314.880554,-740.282837,-134.005173,-284.972900,-737.859985,-227.576874,-332.592010,-305.091125,-138.082596,-284.231171,-616.557739,-271.502686,-307.801331,-268.753967,-226.076706,-295.671814,-363.353149,-312.098907,-278.187836,-624.012207,-417.568115,-307.995880,-452.002472,-468.107330,-295.295380,-276.363525,-434.260803
30,0.250000,-314.777252,-737.942932,-134.164825,-284.950073,-735.652527,-227.663361,-332.209900,-307.721741,-140.381516,-284.109589,-614.440002,-271.880127,-307.620758,-270.481598,-227.789734,-295.196045,-364.957367,-314.252899,-277.618805,-623.825134,-417.776154,-307.571777,-451.981323,-468.563263,-294.790833,-276.090759,-435.164337
31,0.258000,-314.874969,-735.665466,-134.178192,-285.047119,-733.004822,-227.824890,-331.676758,-310.530121,-142.402557,-284.076874,-612.241150,-272.162537,-307.261505,-272.501099,-229.551010,-294.973450,-366.647278,-316.403229,-276.998199,-623.503784,-417.905273,-307.208008,-451.766663,-468.967682,-294.710327,-275.879578,-435.955658
32,0.267000,-314.784607,-733.368958,-134.294495,-284.844940,-730.583923,-227.740295,-332.173553,-313.883179,-143.824402,-283.964172,-609.877197,-272.423187,-307.015686,-274.963837,-230.902023,-294.921265,-368.310333,-318.583527,-276.400757,-623.286865,-418.005524,-306.872498,-451.671173,-469.421539,-294.792694,-275.681335,-436.702789
33,0.275000,-314.690948,-731.054138,-134.479431,-284.505402,-728.181641,-227.855896,-332.400452,-317.591919,-145.609222,-283.809784,-607.681152,-272.872009,-307.204407,-277.625549,-232.351990,-294.734863,-370.082977,-320.815033,-275.865021,-623.043152,-418.187653,-306.576904,-451.482635,-469.910980,-294.895813,-275.575012,-437.434326
34,0.283000,-314.637482,-728.674927,-134.654678,-284.206329,-725.908630,-227.973465,-332.872864,-321.886993,-147.475616,-283.581451,-605.427551,-273.341553,-307.904480,-280.616882,-233.432251,-294.763794,-371.888031,-323.058899,-275.298126,-622.882812,-418.433472,-306.278351,-451.426636,-470.364746,-294.950134,-275.448730,-438.138275
35,0.292000,-314.570953,-726.450928,-134.804169,-284.070129,-723.808777,-228.167419,-333.722137,-326.547668,-149.224426,-283.525391,-603.510437,-273.742432,-308.837524,-283.913116,-234.272064,-295.134766,-373.679199,-325.201630,-274.915924,-622.835510,-418.559357,-306.027710,-451.505157,-470.777649,-294.983734,-275.477692,-438.842133
36,0.300000,-314.709503,-724.292969,-134.972809,-284.066681,-721.931946,-228.282715,-334.952637,-331.532562,-150.941528,-283.547943,-601.682556,-274.070862,-309.820099,-287.383972,-235.062485,-295.297821,-375.577850,-327.416779,-274.655731,-622.801208,-418.634918,-305.901550,-451.552521,-471.041901,-295.022675,-275.454803,-439.345032
37,0.308000,-314.867126,-722.103760,-135.192108,-284.225494,-719.974182,-228.416168,-335.338104,-336.467896,-153.249374,-283.938507,-599.720276,-274.379181,-310.764771,-291.015198,-235.738022,-295.548248,-377.446899,-329.520874,-274.473480,-622.768982,-418.703400,-305.810608,-451.565918,-471.264282,-295.162292,-275.459625,-439.706512
