,Type,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker
,Name,Unlabeled 4301,Unlabeled 4301,Unlabeled 4301,Unlabeled 4302,Unlabeled 4302,Unlabeled 4302,Unlabeled 4303,Unlabeled 4303,Unlabeled 4303,Unlabeled 4304,Unlabeled 4304,Unlabeled 4304,Unlabeled 4305,Unlabeled 4305,Unlabeled 4305,Unlabeled 4306,Unlabeled 4306,Unlabeled 4306,Unlabeled 4307,Unlabeled 4307,Unlabeled 4307,Unlabeled 4308,Unlabeled 4308,Unlabeled 4308,Unlabeled 4309,Unlabeled 4309,Unlabeled 4309
,ID,"656D11BA8CFC447911EF","656D11BA8CFC447911EF","656D11BA8CFC447911EF","656E11BA8CFC447911EF","656E11BA8CFC447911EF","656E11BA8CFC447911EF","656F11BA8CFC447911EF","656F11BA8CFC447911EF","656F11BA8CFC447911EF","657011BA8CFC447911EF","657011BA8CFC447911EF","657011BA8CFC447911EF","657111BA8CFC447911EF","657111BA8CFC447911EF","657111BA8CFC447911EF","657211BA8CFC447911EF","657211BA8CFC447911EF","657211BA8CFC447911EF","657311BA8CFC447911EF","657311BA8CFC447911EF","657311BA8CFC447911EF","657411BA8CFC447911EF","657411BA8CFC447911EF","657411BA8CFC447911EF","657511BA8CFC447911EF","657511BA8CFC447911EF","657511BA8CFC447911EF"
,,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position
Frame,Time (Seconds),X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z
22,0.183000,-315.332153,-899.589600,-349.862640,-285.596313,-888.460938,-442.824036,-334.324493,-292.373291,-379.470551,-282.508148,-787.896118,-523.644226,-306.029877,-325.405914,-467.367737,-294.337280,-433.218506,-537.321167,-274.838806,-748.630981,-665.675964,-287.710449,-401.817139,-683.641113,-301.894928,-576.401855,-717.355225
23,0.192000,-315.345032,-899.882568,-350.439392,-285.689636,-888.872437,-443.406219,-334.314789,-294.467743,-378.461029,-282.563782,-787.835999,-523.650391,-306.166748,-326.321686,-466.802582,-294.360931,-433.681793,-537.468384,-274.873535,-748.609863,-665.672302,-287.833282,-401.764069,-683.597778,-301.926575,-576.370300,-717.356567
24,0.200000,-315.441437,-900.348083,-351.017273,-285.676849,-889.166016,-443.978973,-334.340851,-296.374084,-377.513428,-282.598694,-787.707764,-523.667603,-306.125854,-327.355225,-466.123352,-294.360596,-434.115601,-537.662109,-274.880280,-748.600952,-665.690247,-287.895966,-401.746094,-683.638916,-301.952209,-576.337524,-717.388550
25,0.208000,-315.419220,-900.805481,-351.484467,-285.679260,-889.546509,-444.440216,-334.424957,-298.115814,-376.629028,-282.627014,-787.714783,-523.657043,-306.183228,-328.273651,-465.546936,-294.329193,-434.621155,-537.827209,-274.923218,-748.586792,-665.679504,-287.928497,-401.719238,-683.661926,-301.973145,-576.330200,-717.377991
26,0.217000,-315.311279,-901.069275,-352.001953,-285.576904,-889.945007,-444.995453,-334.459106,-300.113037,-375.697021,-282.635956,-787.794861,-523.674744,-306.184387,-329.346313,-464.937317,-294.367157,-435.182190,-537.936157,-274.966614,-748.594849,-665.680908,-287.931915,-401.723755,-683.645142,-302.009491,-576.327942,-717.362915
27,0.225000,-315.324493,-901.343323,-352.566101,-285.587097,-890.285278,-445.546387,-334.397400,-302.325562,-374.749512,-282.640656,-787.746521,-523.710205,-306.226227,-330.360352,-464.411926,-294.414490,-435.691986,-538.072937,-274.976379,-748.562500,-665.713867,-287.986969,-401.708160,-683.646667,-302.034363,-576.319092,-717.381592
28,0.233000,-315.422913,-901.761536,-353.159088,-285.656342,-890.630493,-446.091248,-334.478088,-304.198059,-373.848267,-282.653259,-787.629517,-523.708984,-306.243195,-331.345581,-463.827789,-294.397064,-436.192047,-538.187439,-274.992889,-748.548035,-665.718628,-288.476898,-401.860077,-683.585999,-302.053650,-576.304993,-717.392639
29,0.242000,-315.337128,-902.087524,-353.676453,-285.562927,-891.101379,-446.665314,-334.486847,-306.065247,-373.025574,-282.672638,-787.639160,-523.694214,-306.233093,-332.498627,-463.301422,-294.366791,-436.785767,-538.255554,-275.023254,-748.563110,-665.706421,-288.505646,-401.877869,-683.576660,-302.078705,-576.312378,-717.360107
30,0.250000,-315.231171,-902.335510,-354.222382,-285.459351,-891.539429,-447.212280,-334.467438,-308.346619,-372.076019,-282.657166,-787.656250,-523.693176,-306.250641,-333.476929,-462.721039,-294.333862,-437.296448,-538.342590,-275.052368,-748.586426,-665.695251,-288.087128,-401.726135,-683.649475,-302.098572,-576.338806,-717.341064
31,0.258000,-315.326904,-902.734070,-354.831482,-285.497101,-891.843750,-447.761688,-334.406189,-310.651611,-371.156036,-282.684052,-787.567017,-523.688782,-306.174133,-334.497650,-462.210724,-294.402130,-437.775635,-538.470947,-275.034821,-748.583008,-665.715820,-288.540680,-401.850739,-683.561523,-302.108917,-576.325012,-717.361511
